episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
10000,-41980.0,0.39,23060.0,0.18,0.3925233644859813
20000,-36165.0,0.43,26330.0,0.15,0.0262582056892779
30000,-48522.5,0.51,22850.0,0.13,0.017326732673267328
40000,-25225.0,0.42,36450.0,0.13,0.004618937644341801
50000,-19997.5,0.4,38840.0,0.13,0.0
60000,-34540.0,0.46,30990.0,0.1,0.0
70000,-21442.5,0.43,40220.0,0.05,0.002320185614849188
80000,-16122.5,0.39,41090.0,0.05,0.0
90000,-16750.0,0.39,41390.0,0.19,0.0
100000,-24832.5,0.41,36620.0,0.29,0.002257336343115124
110000,-25442.5,0.44,37630.0,0.15,0.0
120000,-33450.0,0.42,28650.0,0.15,0.002257336343115124
130000,-7187.5,0.31,41950.0,0.11,0.0
140000,-27490.0,0.43,35950.0,0.32,0.0
150000,-1245.0,0.33,49900.0,0.14,0.0
160000,-30057.5,0.44,33830.0,0.21,0.002207505518763797
170000,-25982.5,0.43,36020.0,0.08,0.0
180000,-9635.0,0.34,42140.0,0.03,0.0
190000,-21577.5,0.42,39000.0,0.08,0.0
200000,-36927.5,0.5,33820.0,0.14,0.0
210000,-35587.5,0.55,38750.0,0.03,0.009615384615384616
220000,-23095.0,0.54,50610.0,0.0,0.04433497536945813
230000,-32017.5,0.55,42610.0,0.05,0.0024509803921568627
240000,-3645.0,0.41,55000.0,0.0,0.0
250000,-20425.0,0.5,48200.0,0.0,0.004672897196261682
260000,-17687.5,0.51,52410.0,0.04,0.0
270000,-37002.5,0.54,36800.0,0.07,0.021377672209026127
280000,-24632.5,0.48,42590.0,0.09,0.0
290000,-2722.5,0.44,58510.0,0.0,0.0
300000,-4805.0,0.43,57060.0,0.19,0.0
310000,15515.0,0.37,70350.0,0.06,0.0
320000,3137.5,0.39,59660.0,0.05,0.0
330000,5102.5,0.43,65670.0,0.01,0.0
340000,-35140.0,0.51,35770.0,0.13,0.0
350000,-20305.0,0.49,49230.0,0.28,0.0
360000,-5117.5,0.44,57700.0,0.11,0.004329004329004329
370000,-9115.0,0.45,53970.0,0.03,0.0
380000,-20920.0,0.48,45820.0,0.13,0.0
390000,-2105.0,0.4,56160.0,0.08,0.001996007984031936
400000,5720.0,0.4,64530.0,0.16,0.0
410000,16132.5,0.34,69660.0,0.25,0.0
420000,-16855.0,0.47,50670.0,0.21,0.0
430000,-2592.5,0.43,59190.0,0.14,0.0
