episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,21310.589873046876,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,22989.771103515624,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-40925.0,23715.913662109375,1429,0.27,38,18380.0,42,64,52,56,56,62,60,68,54
400,0.9991576666666667,46750,-49567.5,24242.850869140624,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,24389.837001953125,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,24197.129296875,2884,0.2,33,22090.0,65,73,68,68,48,69,54,67,59
700,0.9985243333333333,-150000,-66820.0,25031.29263671875,3343,0.08,54,7740.0,48,59,57,55,53,54,63,61,57
800,0.9983132222222222,58750,-47802.5,23975.042373046876,3808,0.23,42,16500.0,69,54,59,59,58,65,60,57,53
900,0.9981021111111111,-185000,-61765.0,25548.7120703125,4249,0.13,53,12700.0,46,58,56,58,57,50,56,52,54
1000,0.997891,83000,-25962.5,24865.34583984375,4726,0.07,33,27070.0,60,68,59,50,62,61,71,61,45
1100,0.9976798888888889,46500,-46192.5,25426.75357421875,5196,0.16,42,17040.0,62,49,55,58,71,64,56,53,64
1200,0.9974687777777778,-125250,-52885.0,25429.8717578125,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-42350.0,24836.743701171876,6165,0.19,43,22560.0,73,67,64,66,56,62,54,62,59
1400,0.9970465555555555,-130500,-48120.0,23945.730048828125,6648,0.36,42,17390.0,68,50,69,66,53,62,60,64,59
1500,0.9968354444444445,16000,-53792.5,24951.02025390625,7099,0.28,49,17520.0,50,71,48,49,49,60,62,59,53
1600,0.9966243333333333,-7250,-45045.0,25233.2058203125,7581,0.3,39,16530.0,70,46,63,80,57,59,60,63,54
1700,0.9964132222222222,-122000,-40842.5,25625.261396484377,8042,0.12,39,19160.0,49,57,44,65,67,49,50,70,59
1800,0.9962021111111111,-7250,-55142.5,25779.6311328125,8501,0.29,46,13750.0,55,45,45,73,58,63,62,60,53
1900,0.995991,-7500,-46985.0,25763.58203125,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
