episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
10000,-30782.5,0.33,25480.0,0.0,0.33970276008492567
20000,-32367.5,0.41,27520.0,0.12,0.017429193899782137
30000,-42717.5,0.48,25990.0,0.17,0.00997506234413965
40000,-28010.0,0.44,36040.0,0.2,0.0
50000,-3422.5,0.3,44310.0,0.08,0.007782101167315175
60000,-28720.0,0.43,33870.0,0.14,0.0
70000,-15042.5,0.38,41890.0,0.15,0.0
80000,-24392.5,0.4,34340.0,0.17,0.0
90000,-21442.5,0.4,37650.0,0.13,0.0
100000,-20110.0,0.39,37830.0,0.12,0.0
110000,-28372.5,0.41,33060.0,0.28,0.0
120000,-37427.5,0.48,30320.0,0.08,0.0
130000,-13340.0,0.35,39420.0,0.08,0.0
140000,-33087.5,0.45,30390.0,0.07,0.0
150000,-14455.0,0.34,38360.0,0.19,0.0
160000,-28460.0,0.41,32170.0,0.19,0.0
170000,-5737.5,0.3,42680.0,0.14,0.0
180000,-18935.0,0.38,39750.0,0.35,0.0
190000,-16022.5,0.39,40820.0,0.04,0.0
200000,-15235.0,0.36,39880.0,0.23,0.0
