episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,21699.92005859375,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,23151.97109375,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-40310.0,23755.438798828123,1429,0.27,38,18940.0,41,65,52,55,56,62,61,67,54
400,0.9991576666666667,46750,-49567.5,24254.191220703124,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,24357.7208203125,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,24148.10939453125,2884,0.2,33,22090.0,65,73,68,68,48,69,54,67,59
700,0.9985243333333333,-150000,-66742.5,25139.981181640625,3343,0.09,54,8010.0,48,58,57,56,53,55,62,60,58
800,0.9983132222222222,58750,-47802.5,23963.67435546875,3808,0.23,42,16500.0,69,54,59,59,58,65,60,57,53
900,0.9981021111111111,-185000,-61765.0,25424.21263671875,4249,0.13,53,12700.0,46,58,56,58,57,50,56,52,54
1000,0.997891,83000,-25962.5,24631.04203125,4726,0.07,33,27070.0,60,68,59,50,62,61,71,61,45
1100,0.9976798888888889,46500,-46192.5,25221.831318359375,5196,0.16,42,17040.0,62,49,55,58,71,64,56,53,64
1200,0.9974687777777778,-125250,-52885.0,25217.405068359374,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-42380.0,24498.79306640625,6165,0.19,43,22540.0,73,68,64,64,56,62,57,60,59
1400,0.9970465555555555,-130500,-47257.5,23644.63837890625,6648,0.36,42,18250.0,68,47,69,66,53,62,61,66,59
1500,0.9968354444444445,16000,-53792.5,24634.01677734375,7099,0.28,49,17520.0,50,71,48,49,49,60,62,59,53
1600,0.9966243333333333,-7250,-45055.0,24959.640458984373,7581,0.3,39,16520.0,70,46,62,80,57,59,60,63,55
1700,0.9964132222222222,-122000,-40842.5,25239.3748046875,8042,0.12,39,19160.0,49,57,44,65,65,49,50,70,61
1800,0.9962021111111111,-7250,-55142.5,25616.47955078125,8501,0.29,46,13750.0,55,45,45,73,58,63,62,60,53
1900,0.995991,-7500,-46985.0,25511.2098046875,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36862.5,24927.16662109375,9472,0.18,37,21500.0,63,59,58,61,54,58,69,61,65
