episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
10000,-30782.5,0.33,25480.0,0.0,0.33970276008492567
20000,-32367.5,0.41,27520.0,0.12,0.017429193899782137
30000,-42717.5,0.48,25990.0,0.17,0.00997506234413965
40000,-28010.0,0.44,36040.0,0.2,0.0
50000,-3422.5,0.3,44310.0,0.08,0.007782101167315175
60000,-28720.0,0.43,33870.0,0.14,0.0
70000,-15042.5,0.38,41890.0,0.15,0.0
80000,-24392.5,0.4,34340.0,0.17,0.0
90000,-21442.5,0.4,37650.0,0.13,0.0
100000,-20110.0,0.39,37830.0,0.12,0.0
110000,-28372.5,0.41,33060.0,0.28,0.0
120000,-37427.5,0.48,30320.0,0.08,0.0
130000,-13340.0,0.35,39420.0,0.08,0.0
140000,-33087.5,0.45,30390.0,0.07,0.0
150000,-14455.0,0.34,38360.0,0.19,0.0
160000,-28460.0,0.41,32170.0,0.19,0.0
170000,-5737.5,0.3,42680.0,0.14,0.0
180000,-18935.0,0.38,39750.0,0.35,0.0
190000,-16022.5,0.39,40820.0,0.04,0.0
200000,-15235.0,0.36,39880.0,0.23,0.0
210000,-11352.5,0.36,43160.0,0.17,0.0
220000,-1035.0,0.31,49060.0,0.24,0.0
230000,-24837.5,0.54,49200.0,0.11,0.0
240000,-22675.0,0.52,48920.0,0.07,0.011737089201877934
250000,-17820.0,0.5,51660.0,0.1,0.013986013986013986
260000,-21990.0,0.51,48150.0,0.07,0.0023148148148148147
270000,-7990.0,0.43,53090.0,0.07,0.0
280000,-8557.5,0.43,54410.0,0.23,0.0
290000,-10387.5,0.45,53330.0,0.03,0.0
300000,-1410.0,0.42,59790.0,0.18,0.0
310000,-6997.5,0.42,52870.0,0.04,0.0
320000,9570.0,0.42,69290.0,0.0,0.0
330000,-2130.0,0.45,61200.0,0.01,0.0
340000,-11430.0,0.47,54210.0,0.03,0.006802721088435374
350000,-8187.5,0.48,58780.0,0.03,0.0
360000,12000.0,0.41,71660.0,0.1,0.0
370000,-8117.5,0.44,55150.0,0.07,0.0
380000,-32557.5,0.59,45400.0,0.0,0.0
390000,-13827.5,0.46,50510.0,0.08,0.0
400000,9185.0,0.37,64870.0,0.14,0.0
