episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,22295.920341796875,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,23894.176240234374,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-43892.5,24830.588359375,1429,0.26,39,16410.0,41,65,53,53,57,65,60,66,53
400,0.9991576666666667,46750,-49567.5,25448.00837890625,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,25083.392578125,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,24573.4693359375,2884,0.2,33,22090.0,65,73,68,68,47,69,54,67,60
700,0.9985243333333333,-150000,-66227.5,25836.2934765625,3343,0.08,54,8310.0,48,58,57,55,50,54,63,61,61
800,0.9983132222222222,58750,-47802.5,24896.512890625,3808,0.23,42,16500.0,69,54,59,59,58,65,60,57,53
900,0.9981021111111111,-185000,-61765.0,26730.426845703125,4249,0.13,53,12700.0,46,58,56,58,57,50,56,52,54
1000,0.997891,83000,-25952.5,25756.546572265626,4726,0.07,33,27080.0,60,67,59,51,62,61,71,62,44
1100,0.9976798888888889,46500,-46192.5,26311.530673828125,5196,0.16,42,17040.0,62,49,55,58,71,64,56,53,64
1200,0.9974687777777778,-125250,-52885.0,26518.035009765626,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-40832.5,26001.5744140625,6164,0.2,42,23000.0,70,69,65,62,57,61,54,62,59
1400,0.9970465555555555,-130500,-47885.0,25612.313583984374,6648,0.36,42,17530.0,66,49,71,66,53,61,62,63,59
1500,0.9968354444444445,16000,-53737.5,26172.363125,7099,0.28,49,17580.0,50,71,48,50,49,60,62,59,52
1600,0.9966243333333333,-7250,-47102.5,26758.15748046875,7581,0.3,40,15510.0,70,46,62,81,56,61,60,61,55
1700,0.9964132222222222,-122000,-40842.5,26611.3453125,8042,0.12,39,19160.0,49,57,44,65,65,49,50,70,61
1800,0.9962021111111111,-7250,-54912.5,26991.049072265625,8501,0.29,46,13940.0,55,44,45,74,58,63,62,59,54
1900,0.995991,-7500,-46985.0,27167.6883984375,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36862.5,26678.1080859375,9472,0.18,37,21500.0,63,59,58,61,54,58,69,61,65
2100,0.9955687777777777,-151500,-30965.0,26461.763623046874,9973,0.2,34,23800.0,60,64,79,58,68,47,67,64,54
2200,0.9953576666666667,12250,-55430.0,27245.227333984374,10435,0.07,48,13060.0,47,68,49,62,64,49,64,59,47
2300,0.9951465555555555,59000,-46090.0,26572.67041015625,10897,0.14,44,20020.0,70,56,58,62,44,68,51,58,65
2400,0.9949354444444445,54250,-46982.5,25809.229990234377,11346,0.06,45,18640.0,53,67,52,55,65,48,53,48,61
2500,0.9947243333333333,21500,-53330.0,26587.402763671875,11804,0.01,46,12930.0,63,54,70,42,69,46,72,48,57
2600,0.9945132222222223,-140000,-52815.0,26167.49298828125,12265,0.05,47,14830.0,60,60,54,69,55,53,72,56,42
2700,0.9943021111111111,80500,-69515.0,26777.996201171874,12694,0.25,54,6870.0,51,62,62,58,45,50,51,52,49
2800,0.994091,43500,-42437.5,27117.76994140625,13183,0.19,38,17370.0,67,64,57,59,63,56,68,70,52
2900,0.9938798888888889,-135000,-52410.0,27165.318125,13635,0.26,47,16730.0,49,58,52,51,66,58,58,53,56
3000,0.9936687777777777,-155000,-37515.0,26243.812998046877,14131,0.3,36,20120.0,56,48,49,67,68,61,64,73,66
3100,0.9934576666666667,30000,-39082.5,25589.998203125,14617,0.3,39,22370.0,62,55,58,57,49,65,70,63,69
3200,0.9932465555555555,10500,-41787.5,26842.541630859374,15098,0.16,39,18150.0,65,54,71,60,47,77,49,56,67
3300,0.9930354444444445,-180000,-31480.0,25948.34951171875,15604,0.19,35,24570.0,72,63,78,56,60,78,54,59,58
3400,0.9928243333333333,38500,-52195.0,26035.65501953125,16073,0.04,46,14230.0,57,62,67,58,64,58,42,58,60
3500,0.9926132222222223,-149000,-57632.5,26889.065107421877,16520,0.13,50,14380.0,57,59,51,58,60,55,51,64,49
3600,0.9924021111111111,62500,-41757.5,26815.126494140626,17001,0.16,41,20290.0,61,58,56,61,56,57,66,64,63
3700,0.992191,60750,-47167.5,26584.427763671876,17490,0.09,43,16510.0,67,77,56,70,54,62,55,63,52
3800,0.9919798888888889,17250,-49055.0,27148.325380859376,17969,0.33,42,15360.0,52,68,65,57,49,65,54,66,55
