episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
50100,0.8942354444444445,14000,-53942.5,25772.7139453125,100000,0.16,47,14650.0,56,51,60,46,59,60,57,57,61
50200,0.8940243333333333,-11000,-41517.5,25188.777880859376,100000,0.14,42,21240.0,54,60,54,48,51,60,60,64,69
50300,0.8938132222222223,-205000,-57187.5,24377.1936328125,100000,0.12,49,13060.0,47,51,56,47,69,51,57,54,61
50400,0.8936021111111111,60500,-57665.0,25218.149169921875,100000,0.14,50,12950.0,39,69,40,68,61,42,41,58,62
50500,0.893391,46000,-46972.5,25081.8182421875,100000,0.1,44,17310.0,40,71,43,60,57,56,43,55,72
50600,0.8931798888888889,12000,-44350.0,26478.1701171875,100000,0.12,43,19640.0,59,66,54,69,61,49,58,61,60
50700,0.8929687777777778,53500,-44595.0,26332.05376953125,100000,0.27,41,18870.0,54,64,58,56,57,48,55,60,75
50800,0.8927576666666667,39000,-48452.5,25493.329521484375,100000,0.13,46,18080.0,41,55,62,58,59,49,58,53,66
50900,0.8925465555555556,-21750,-31290.0,25824.75935546875,100000,0.18,38,26680.0,40,73,74,53,67,37,61,61,62
51000,0.8923354444444445,-160000,-22037.5,25918.359375,100000,0.1,32,29660.0,52,60,57,68,66,54,70,58,73
51100,0.8921243333333333,-8250,-29902.5,26577.21521484375,100000,0.22,35,26510.0,61,53,60,58,55,70,59,66,64
51200,0.8919132222222222,94000,-36065.0,25984.072021484375,100000,0.28,39,24170.0,42,56,50,60,59,62,57,72,62
51300,0.8917021111111111,-140250,-54522.5,25884.2612890625,100000,0.32,47,15500.0,63,47,62,62,49,56,56,48,78
51400,0.891491,-122000,-38050.0,25482.9304296875,100000,0.01,41,22440.0,59,46,53,50,60,50,67,67,90
51500,0.8912798888888889,83000,-26385.0,25757.35400390625,100000,0.21,34,28170.0,59,71,64,70,59,56,66,46,69
51600,0.8910687777777778,23000,-25620.0,25864.99474609375,100000,0.34,34,30160.0,60,45,68,56,71,63,58,52,81
51700,0.8908576666666667,44500,-28735.0,26017.145029296877,100000,0.27,35,27780.0,59,64,63,51,69,49,70,62,71
51800,0.8906465555555556,-124000,-30097.5,25785.93169921875,100000,0.23,35,26050.0,57,59,64,58,71,62,52,71,91
51900,0.8904354444444444,39750,-48227.5,24702.208427734375,100000,0.1,44,16070.0,57,56,54,69,60,61,55,66,61
52000,0.8902243333333333,-147000,-33950.0,25356.817451171875,100000,0.23,38,25060.0,44,53,71,58,51,54,59,46,76
52100,0.8900132222222222,29000,-37570.0,25442.8839453125,100000,0.28,38,22220.0,50,67,58,60,66,59,45,63,65
52200,0.8898021111111111,69500,-20310.0,26145.286123046873,100000,0.1,31,30030.0,47,55,57,52,64,80,58,52,79
52300,0.889591,77500,-46202.5,25517.52302734375,100000,0.23,42,18210.0,65,61,60,71,54,51,54,54,59
52400,0.8893798888888889,39250,-17007.5,25021.87001953125,100000,0.17,28,31590.0,59,70,63,64,77,52,56,56,76
52500,0.8891687777777778,-126250,-39740.0,25390.869638671877,100000,0.15,39,19940.0,48,57,60,58,63,52,56,64,70
52600,0.8889576666666666,-192000,-35532.5,25264.11466796875,100000,0.26,39,24970.0,61,59,65,46,46,57,52,50,97
52700,0.8887465555555556,-135000,-46570.0,25200.498583984376,100000,0.25,43,18280.0,51,66,65,54,67,40,56,54,69
52800,0.8885354444444444,-153500,-35462.5,25827.00150390625,100000,0.14,38,22770.0,50,66,55,70,46,66,54,50,79
52900,0.8883243333333334,-132000,-62697.5,25279.136337890624,100000,0.12,50,8400.0,46,53,64,60,55,55,45,39,56
53000,0.8881132222222222,21000,-45837.5,26087.815830078125,100000,0.15,44,18840.0,59,65,58,65,64,55,45,54,81
